target,cluster_labels,proportion,counts
0,0,1.0,799
1,0,1.0,3028
2,0,1.0,2617
3,0,0.995,214
3,4,0.005,1
4,0,0.997,583
4,1,0.003,2
5,0,1.0,230
6,0,1.0,4651
6,2,0.0,1
7,0,1.0,16460
7,3,0.0,1
7,5,0.0,1
8,0,1.0,24395
