target,cluster_labels,proportion,counts
0,0,0.985,787
0,1,0.015,12
1,0,0.998,3021
1,1,0.002,7
2,0,0.994,2601
2,1,0.006,15
2,2,0.0,1
3,0,0.995,214
3,1,0.005,1
4,0,1.0,585
5,0,1.0,230
6,1,0.795,3698
6,0,0.205,954
7,0,0.885,14574
7,2,0.112,1840
7,1,0.003,48
8,0,0.983,23989
8,3,0.015,370
8,1,0.001,36
