target,cluster_labels,proportion,counts
0,0,1.0,799
1,0,1.0,3028
2,0,1.0,2616
2,1,0.0,1
3,0,1.0,215
4,0,1.0,585
5,0,1.0,230
6,0,1.0,4652
7,0,0.888,14622
7,1,0.112,1840
8,0,0.985,24025
8,1,0.015,370
