target,cluster_labels,proportion,counts
0,4,0.731,584
0,6,0.24,192
0,5,0.029,23
1,6,0.989,2994
1,4,0.006,18
1,3,0.003,10
1,5,0.002,6
2,4,0.936,2450
2,0,0.029,75
2,3,0.02,52
2,6,0.008,20
2,5,0.006,16
2,1,0.001,3
2,2,0.0,1
3,4,0.674,145
3,6,0.126,27
3,3,0.116,25
3,0,0.065,14
3,5,0.019,4
4,4,0.877,513
4,6,0.103,60
4,5,0.019,11
4,3,0.002,1
5,0,0.313,72
5,4,0.283,65
5,5,0.174,40
5,3,0.143,33
5,6,0.087,20
6,5,0.898,4178
6,3,0.059,275
6,0,0.034,156
6,4,0.007,31
6,6,0.002,9
6,1,0.0,2
6,2,0.0,1
7,3,0.533,8770
7,2,0.421,6938
7,0,0.034,567
7,5,0.006,103
7,4,0.003,46
7,6,0.001,24
7,1,0.001,14
8,0,0.581,14175
8,1,0.413,10072
8,4,0.003,62
8,3,0.002,46
8,5,0.001,35
8,6,0.0,5
