target,cluster_labels,proportion,counts
0,2,0.989,790
0,3,0.011,9
1,2,0.996,3017
1,3,0.003,9
1,1,0.001,2
2,2,0.88,2303
2,3,0.059,155
2,0,0.057,148
2,1,0.003,8
2,4,0.001,3
3,2,0.87,187
3,3,0.084,18
3,0,0.047,10
4,2,0.988,578
4,3,0.012,7
5,2,0.5,115
5,3,0.404,93
5,0,0.083,19
5,1,0.013,3
6,3,0.957,4450
6,0,0.028,132
6,2,0.009,43
6,1,0.005,25
6,4,0.0,2
7,1,0.754,12410
7,3,0.193,3173
7,0,0.046,762
7,2,0.006,103
7,4,0.001,14
8,0,0.579,14121
8,4,0.415,10130
8,3,0.004,99
8,2,0.001,35
8,1,0.0,10
