target,cluster_labels,proportion,counts
0,2,1.0,799
1,2,0.999,3025
1,0,0.001,3
2,2,0.984,2574
2,1,0.011,28
2,0,0.006,15
3,2,0.991,213
3,1,0.009,2
4,2,1.0,585
5,2,0.987,227
5,0,0.013,3
6,2,0.971,4515
6,0,0.021,99
6,1,0.008,38
7,0,0.882,14514
7,2,0.108,1776
7,1,0.01,172
8,1,0.928,22641
8,2,0.063,1549
8,0,0.008,205
