target,cluster_labels,proportion,counts
0,1,1.0,799
1,1,1.0,3028
2,1,0.983,2573
2,0,0.017,44
3,1,0.991,213
3,0,0.009,2
4,1,1.0,585
5,1,1.0,230
6,1,0.981,4563
6,0,0.019,89
7,1,0.992,16323
7,0,0.008,139
8,0,0.924,22532
8,1,0.076,1863
