target,cluster_labels,proportion,counts
0,0,0.732,585
0,5,0.239,191
0,3,0.029,23
1,5,0.989,2994
1,0,0.006,18
1,4,0.003,10
1,3,0.002,6
2,0,0.934,2443
2,6,0.032,83
2,4,0.018,46
2,5,0.008,20
2,3,0.006,16
2,7,0.002,5
2,1,0.001,3
2,2,0.0,1
3,0,0.679,146
3,5,0.126,27
3,4,0.107,23
3,6,0.065,14
3,3,0.019,4
3,7,0.005,1
4,0,0.877,513
4,5,0.103,60
4,3,0.019,11
4,4,0.002,1
5,6,0.357,82
5,0,0.248,57
5,3,0.196,45
5,4,0.109,25
5,5,0.091,21
6,3,0.899,4181
6,4,0.056,261
6,6,0.023,107
6,7,0.014,64
6,0,0.006,29
6,5,0.002,9
6,2,0.0,1
7,4,0.518,8528
7,2,0.423,6963
7,6,0.048,783
7,3,0.006,106
7,0,0.003,46
7,5,0.001,22
7,1,0.001,13
7,7,0.0,1
8,6,0.435,10624
8,1,0.339,8279
8,7,0.22,5369
8,0,0.002,58
8,3,0.002,39
8,4,0.001,23
8,5,0.0,3
