target,cluster_labels,proportion,counts
0,3,1.0,799
1,3,0.999,3025
1,2,0.001,3
2,3,0.927,2427
2,1,0.065,169
2,2,0.006,17
2,0,0.002,4
3,3,0.967,208
3,1,0.033,7
4,3,1.0,585
5,3,0.957,220
5,1,0.03,7
5,2,0.013,3
6,3,0.899,4182
6,1,0.074,346
6,2,0.026,122
6,0,0.0,2
7,2,0.877,14441
7,3,0.063,1029
7,1,0.059,976
7,0,0.001,16
8,1,0.56,13655
8,0,0.437,10664
8,3,0.003,61
8,2,0.001,15
